Fecha,TRM (COP)
2021-06-09,3597.18
2021-06-10,3588.41
2021-06-11,3589.86
2021-06-12,3626.02
2021-06-16,3693.35
2021-06-17,3690.56
2021-06-18,3730.45
2021-06-19,3753.77
2021-06-22,3758.08
2021-06-23,3784.45
2021-06-24,3773.11
2021-06-25,3770.35
2021-06-26,3739.03
2021-06-29,3713.17
2021-06-30,3756.67
2021-07-01,3748.50
2021-07-02,3775.53
2021-07-03,3777.17
2021-07-07,3782.27
2021-07-08,3815.22
2021-07-09,3850.46
2021-07-10,3829.46
2021-07-13,3824.08
2021-07-14,3826.85
2021-07-15,3796.07
2021-07-16,3809.07
2021-07-17,3808.46
2021-07-20,3842.97
2021-07-22,3855.68
2021-07-23,3866.86
2021-07-24,3874.44
2021-07-27,3904.17
2021-07-28,3918.49
2021-07-29,3902.18
2021-07-30,3836.95
2021-07-31,3867.88
2021-08-03,3865.46
2021-08-04,3913.59
2021-08-05,3911.36
2021-08-06,3910.81
2021-08-07,3949.33
2021-08-10,3988.27
2021-08-11,3979.80
2021-08-12,3950.43
2021-08-13,3887.07
2021-08-14,3830.25
2021-08-18,3868.41
2021-08-19,3861.33
2021-08-20,3876.08
2021-08-21,3874.95
2021-08-24,3867.73
2021-08-25,3861.88
2021-08-26,3865.04
2021-08-27,3870.57
2021-08-28,3834.13
2021-08-31,3806.87
2021-09-01,3774.00
2021-09-02,3753.30
2021-09-03,3780.85
2021-09-04,3790.04
2021-09-08,3812.76
2021-09-09,3816.14
2021-09-10,3829.72
2021-09-11,3836.85
2021-09-14,3835.27
2021-09-15,3830.83
2021-09-16,3825.36
2021-09-17,3818.16
2021-09-18,3828.18
2021-09-21,3851.22
2021-09-22,3843.77
2021-09-23,3834.66
2021-09-24,3835.67
2021-09-25,3844.88
2021-09-28,3837.91
2021-09-29,3841.94
2021-09-30,3834.68
2021-10-01,3812.77
2021-10-02,3781.35
2021-10-05,3786.05
2021-10-06,3796.30
2021-10-07,3788.03
2021-10-08,3772.44
2021-10-09,3765.80
2021-10-13,3738.48
2021-10-14,3725.75
2021-10-15,3755.29
2021-10-16,3772.49
2021-10-20,3766.94
2021-10-21,3770.58
2021-10-22,3783.30
2021-10-23,3780.38
2021-10-26,3769.98
2021-10-27,3774.46
2021-10-28,3761.21
2021-10-29,3766.10
2021-10-30,3784.44
2021-11-03,3778.69
2021-11-04,3837.84
2021-11-05,3847.40
2021-11-06,3881.76
2021-11-09,3874.41
2021-11-10,3876.86
2021-11-11,3875.38
2021-11-13,3888.53
2021-11-17,3898.84
2021-11-18,3907.95
2021-11-19,3943.43
2021-11-20,3923.53
2021-11-23,3913.26
2021-11-24,3944.37
2021-11-25,3969.49
2021-11-27,4008.13
2021-11-30,4010.98
2021-12-01,4004.54
2021-12-02,3953.26
2021-12-03,3945.18
2021-12-04,3948.33
2021-12-07,3944.00
2021-12-08,3906.10
2021-12-10,3899.87
2021-12-11,3887.71
2021-12-14,3886.87
2021-12-15,3936.41
2021-12-16,3990.27
2021-12-17,4002.97
2021-12-18,3999.85
2021-12-21,4002.12
2021-12-22,3996.28
2021-12-23,3997.71
2021-12-24,3997.09
2021-12-25,3994.15
2021-12-28,3989.41
2021-12-29,4004.00
2021-12-30,4023.68
2021-12-31,3981.16
2022-01-04,4082.75
2022-01-05,4084.11
2022-01-06,4042.36
2022-01-07,4039.31
2022-01-08,4043.46
2022-01-12,4011.65
2022-01-13,3970.08
2022-01-14,3950.40
2022-01-15,3993.65
2022-01-19,4033.37
2022-01-20,4003.95
2022-01-21,3980.80
2022-01-22,3964.30
2022-01-25,3977.51
2022-01-26,3987.32
2022-01-27,3947.83
2022-01-28,3944.04
2022-01-29,3982.60
2022-02-01,3942.73
2022-02-02,3923.61
2022-02-03,3928.05
2022-02-04,3951.96
2022-02-05,3962.68
2022-02-08,3963.84
2022-02-09,3965.41
2022-02-10,3939.31
2022-02-11,3917.75
2022-02-12,3917.52
2022-02-15,3938.97
2022-02-16,3946.88
2022-02-17,3963.72
2022-02-18,3953.26
2022-02-19,3927.25
2022-02-23,3932.40
2022-02-24,3913.79
2022-02-25,3940.20
2022-02-26,3910.64
2022-03-01,3910.28
2022-03-02,3901.62
2022-03-03,3862.95
2022-03-04,3771.77
2022-03-05,3806.11
2022-03-08,3813.41
2022-03-09,3787.18
2022-03-10,3746.43
2022-03-11,3786.00
2022-03-12,3827.64
2022-03-15,3800.85
2022-03-16,3836.56
2022-03-17,3826.89
2022-03-18,3816.43
2022-03-19,3820.67
2022-03-23,3765.67
2022-03-24,3756.64
2022-03-25,3798.90
2022-03-26,3785.66
2022-03-29,3785.70
2022-03-30,3765.96
2022-03-31,3748.15
2022-04-01,3756.03
2022-04-02,3774.79
2022-04-05,3706.95
2022-04-06,3723.79
2022-04-07,3746.51
2022-04-08,3771.83
2022-04-09,3777.41
2022-04-12,3744.16
2022-04-13,3736.70
2022-04-14,3737.32
2022-04-19,3731.31
2022-04-20,3755.85
2022-04-21,3758.65
2022-04-22,3759.54
2022-04-23,3819.07
2022-04-26,3931.74
2022-04-27,3947.63
2022-04-28,3967.32
2022-04-29,3984.77
2022-04-30,3966.27
2022-05-03,4004.07
2022-05-04,4016.34
2022-05-05,4056.41
2022-05-06,4086.08
2022-05-07,4053.93
2022-05-10,4085.76
2022-05-11,4086.71
2022-05-12,4080.32
2022-05-13,4109.71
2022-05-14,4110.53
2022-05-17,4070.25
2022-05-18,4033.85
2022-05-19,4054.71
2022-05-20,4050.88
2022-05-21,3989.84
2022-05-24,3950.35
2022-05-25,3971.28
2022-05-26,3959.05
2022-05-27,3930.89
2022-05-28,3912.34
2022-06-01,3776.52
2022-06-02,3791.74
2022-06-03,3784.98
2022-06-04,3771.63
2022-06-07,3799.50
2022-06-08,3790.88
2022-06-09,3782.65
2022-06-10,3833.34
2022-06-11,3912.51
2022-06-14,4016.50
2022-06-15,3979.30
2022-06-16,3923.96
2022-06-17,3912.15
2022-06-18,3905.05
2022-06-22,4026.92
2022-06-23,4026.52
2022-06-24,4068.75
2022-06-25,4129.87
2022-06-29,4089.72
2022-06-30,4127.47
2022-07-01,4151.21
2022-07-02,4198.77
2022-07-06,4259.86
2022-07-07,4348.68
2022-07-08,4369.70
2022-07-09,4388.27
2022-07-12,4513.28
2022-07-13,4627.46
2022-07-14,4558.05
2022-07-15,4519.65
2022-07-16,4395.63
2022-07-19,4315.41
2022-07-20,4303.34
2022-07-22,4410.14
2022-07-23,4423.86
2022-07-26,4461.63
2022-07-27,4445.01
2022-07-28,4420.75
2022-07-29,4375.51
2022-07-30,4300.30
2022-08-02,4245.99
2022-08-03,4313.30
2022-08-04,4331.15
2022-08-05,4268.30
2022-08-06,4337.28
2022-08-09,4307.09
2022-08-10,4309.69
2022-08-11,4273.82
2022-08-12,4231.45
2022-08-13,4185.49
2022-08-17,4218.48
2022-08-18,4316.47
2022-08-19,4413.86
2022-08-20,4400.25
2022-08-23,4399.16
2022-08-24,4374.45
2022-08-25,4380.19
2022-08-26,4407.95
2022-08-27,4388.02
2022-08-30,4386.13
2022-08-31,4400.16
2022-09-01,4422.77
2022-09-02,4467.03
2022-09-03,4466.73
2022-09-07,4480.10
2022-09-08,4446.36
2022-09-09,4396.69
2022-09-10,4365.32
2022-09-13,4346.91
2022-09-14,4413.89
2022-09-15,4389.80
2022-09-16,4404.64
2022-09-17,4435.84
2022-09-20,4415.11
2022-09-21,4420.38
2022-09-22,4403.82
2022-09-23,4379.80
2022-09-24,4426.47
2022-09-27,4496.99
2022-09-28,4556.42
2022-09-29,4486.94
2022-09-30,4532.07
2022-10-01,4590.54
2022-10-04,4545.66
2022-10-05,4484.74
2022-10-06,4548.89
2022-10-07,4627.61
2022-10-08,4605.29
2022-10-12,4611.88
2022-10-13,4611.18
2022-10-14,4619.78
2022-10-15,4636.83
2022-10-19,4744.04
2022-10-20,4815.09
2022-10-21,4885.50
2022-10-22,4913.24
2022-10-25,4968.94
2022-10-26,4948.14
2022-10-27,4895.29
2022-10-28,4821.92
2022-10-29,4819.42
2022-11-01,4898.74
2022-11-02,4975.58
2022-11-03,5015.84
2022-11-04,5058.02
2022-11-05,5061.21
2022-11-09,5013.20
2022-11-10,4914.71
2022-11-11,4806.07
2022-11-16,4801.06
2022-11-17,4922.70
2022-11-18,5022.03
2022-11-19,4994.61
2022-11-22,4958.42
2022-11-23,4914.34
2022-11-24,4875.91
2022-11-26,4881.41
2022-11-29,4840.60
2022-11-30,4809.51
2022-12-01,4815.59
2022-12-02,4779.06
2022-12-03,4767.19
2022-12-06,4812.37
2022-12-07,4818.32
2022-12-08,4825.83
2022-12-10,4815.99
2022-12-13,4836.24
2022-12-14,4791.57
2022-12-15,4778.28
2022-12-16,4797.02
2022-12-17,4802.48
2022-12-20,4781.28
2022-12-21,4769.29
2022-12-22,4761.64
2022-12-23,4760.61
2022-12-24,4745.04
2022-12-28,4766.82
2022-12-29,4765.92
2022-12-30,4810.20
2023-01-04,4842.26
2023-01-05,4924.00
2023-01-06,4989.58
2023-01-07,4885.66
2023-01-11,4807.85
2023-01-12,4748.54
2023-01-13,4692.04
2023-01-14,4693.99
2023-01-18,4691.09
2023-01-19,4702.67
2023-01-20,4683.85
2023-01-21,4631.64
2023-01-24,4551.02
2023-01-25,4545.94
2023-01-26,4538.91
2023-01-27,4531.75
2023-01-28,4548.50
2023-01-31,4632.20
2023-02-01,4648.70
2023-02-02,4639.04
2023-02-03,4584.44
2023-02-04,4669.74
2023-02-07,4776.25
2023-02-08,4775.99
2023-02-09,4769.85
2023-02-10,4742.05
2023-02-11,4777.73
2023-02-14,4818.62
2023-02-15,4783.24
2023-02-16,4878.24
2023-02-17,4966.33
2023-02-18,4918.94
2023-02-22,4950.33
2023-02-23,4924.91
2023-02-24,4853.90
2023-02-25,4849.65
2023-02-28,4808.14
2023-03-01,4814.11
2023-03-02,4848.78
2023-03-03,4855.83
2023-03-04,4780.89
2023-03-07,4734.42
2023-03-08,4744.95
2023-03-09,4755.59
2023-03-10,4748.61
2023-03-11,4748.14
2023-03-14,4769.76
2023-03-15,4736.03
2023-03-16,4835.51
2023-03-17,4866.50
2023-03-18,4824.25
2023-03-22,4804.29
2023-03-23,4776.09
2023-03-24,4755.12
2023-03-25,4741.76
2023-03-28,4686.83
2023-03-29,4658.79
2023-03-30,4627.63
2023-03-31,4627.27
2023-04-01,4646.08
2023-04-04,4603.00
2023-04-05,4587.31
2023-04-06,4570.91
2023-04-11,4564.24
2023-04-12,4516.76
2023-04-13,4458.87
2023-04-14,4424.02
2023-04-15,4425.27
2023-04-18,4431.45
2023-04-19,4473.07
2023-04-20,4532.43
2023-04-21,4535.78
2023-04-22,4523.64
2023-04-25,4482.45
2023-04-26,4486.60
2023-04-27,4552.59
2023-04-28,4654.14
2023-04-29,4669.00
2023-05-03,4713.08
2023-05-04,4667.09
2023-05-05,4616.58
2023-05-06,4552.56
2023-05-09,4490.58
2023-05-10,4540.34
2023-05-11,4545.39
2023-05-12,4601.15
2023-05-13,4564.44
2023-05-16,4506.49
2023-05-17,4531.58
2023-05-18,4528.30
2023-05-19,4521.64
2023-05-20,4528.67
2023-05-24,4501.81
2023-05-25,4448.93
2023-05-26,4470.83
2023-05-27,4461.66
2023-05-31,4408.65
2023-06-01,4434.09
2023-06-02,4410.49
2023-06-03,4355.80
2023-06-06,4307.02
2023-06-07,4245.00
2023-06-08,4209.14
2023-06-09,4179.98
2023-06-10,4173.66
2023-06-14,4186.30
2023-06-15,4182.33
2023-06-16,4164.66
2023-06-17,4145.72
2023-06-21,4149.18
2023-06-22,4158.21
2023-06-23,4114.39
2023-06-24,4168.88
2023-06-27,4172.33
2023-06-28,4152.48
2023-06-29,4169.60
2023-06-30,4191.28
2023-07-01,4177.58
2023-07-06,4128.08
2023-07-07,4195.93
2023-07-08,4189.96
2023-07-11,4154.06
2023-07-12,4193.59
2023-07-13,4128.67
2023-07-14,4102.13
2023-07-15,4089.30
2023-07-18,4069.39
2023-07-19,3991.15
2023-07-20,3980.20
2023-07-22,3971.38
2023-07-25,3950.58
2023-07-26,3978.83
2023-07-27,3951.10
2023-07-28,3932.04
2023-07-29,3923.49
2023-08-01,3898.48
2023-08-02,4007.44
2023-08-03,4056.99
2023-08-04,4144.79
2023-08-05,4077.90
2023-08-09,4076.46
2023-08-10,4031.65
2023-08-11,3955.23
2023-08-12,3973.41
2023-08-15,4029.95
2023-08-16,4096.08
2023-08-17,4130.33
2023-08-18,4093.96
2023-08-19,4124.04
2023-08-23,4120.07
2023-08-24,4085.89
2023-08-25,4076.90
2023-08-26,4117.78
2023-08-29,4111.52
2023-08-30,4110.08
2023-08-31,4085.33
2023-09-01,4099.20
2023-09-02,4063.36
2023-09-06,4089.46
2023-09-07,4093.04
2023-09-08,4045.83
2023-09-09,4012.26
2023-09-12,3997.74
2023-09-13,3993.53
2023-09-14,3950.92
2023-09-15,3926.59
2023-09-16,3928.28
2023-09-19,3905.95
2023-09-20,3902.54
2023-09-21,3907.21
2023-09-22,3948.25
2023-09-23,3948.70
2023-09-26,4052.54
2023-09-27,4068.73
2023-09-28,4093.60
2023-09-29,4085.57
2023-09-30,4053.76
2023-10-03,4141.43
2023-10-04,4187.01
2023-10-05,4252.09
2023-10-06,4359.40
2023-10-07,4386.66
2023-10-11,4231.97
2023-10-12,4212.50
2023-10-13,4230.61
2023-10-14,4249.00
2023-10-18,4222.09
2023-10-19,4227.39
2023-10-20,4249.71
2023-10-21,4238.85
2023-10-24,4221.39
2023-10-25,4213.97
2023-10-26,4201.53
2023-10-27,4154.94
2023-10-28,4120.62
2023-10-31,4060.83
2023-11-01,4114.29
2023-11-02,4117.71
2023-11-03,4047.11
2023-11-04,3975.09
2023-11-08,4005.06
2023-11-09,4065.79
2023-11-10,4056.94
2023-11-11,4037.19
2023-11-15,3963.57
2023-11-16,3976.84
2023-11-17,4077.44
2023-11-18,4116.59
2023-11-21,4033.83
2023-11-22,4060.15
2023-11-23,4092.33
2023-11-25,4044.51
2023-11-28,3989.89
2023-11-29,3957.77
2023-11-30,3980.67
2023-12-01,4045.22
2023-12-02,3983.15
